variant_name,selected,loop_edge_count,loop_edge_ids_used,odometry_only,closure_error_before_m,closure_error_after_m,closure_error_improvement_m,total_distance_change_abs_m,mean_keyframe_translation_correction_m,max_keyframe_translation_correction_m,mean_keyframe_translation_step_m,mean_keyframe_rotation_step_rad,deformation_score,output_dir
odom_only,False,0,,True,2.394735,2.394735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3d/indoor_small_01/variants/odom_only
anchor_only,True,1,3,False,2.394735,0.546333,1.848402,0.02825,2.621224,3.605765,0.082033,0.029214,4.401429,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3d/indoor_small_01/variants/anchor_only
