scan_index,timestamp,x,y,theta
0,1774265766.515001,0.0,0.0,0.0
3,1774265766.801871,-0.014079612592420236,-0.004737311953135043,0.008498863263744726
6,1774265767.083562,0.0019211961932243233,-0.0020371670720247415,-0.0032564066265503002
9,1774265767.364680,0.02117688575682335,-0.0030411068257203268,-0.012146770147673831
12,1774265767.645258,0.055911641844212455,-0.006283017898786076,-0.018545856328059412
15,1774265767.923173,0.09488407729380591,-0.007352988093608745,-0.019423594461877098
18,1774265768.201460,0.1621098832056808,-0.002612084450675623,-0.03394775717860735
21,1774265768.479034,0.2505522949274333,-0.020715541404733976,-0.06969502981971504
24,1774265768.757498,0.33676137883242996,-0.02265790179056761,-0.08227443838919635
27,1774265769.035231,0.43992694554051315,-0.03461270387992834,-0.08420863024507202
30,1774265769.313069,0.5449677336243441,-0.04568220615194001,-0.07763787459106873
33,1774265769.589815,0.6467979519002961,-0.06120951502708819,-0.07054489493025232
36,1774265769.865751,0.7566005164890716,-0.06526823379312055,-0.0644022982896377
39,1774265770.141447,0.8516827556378679,-0.07008938018126429,-0.08510670579845293
42,1774265770.419716,0.8991153293336999,-0.07847513849575417,-0.11119090171797164
45,1774265770.695998,0.9546470359728775,-0.10478875747370259,-0.10816564477028288
48,1774265770.972939,1.042298351817854,-0.1108063766342961,-0.13052256144006086
51,1774265771.251500,1.1231062338728395,-0.1024974587223497,-0.10618598109564359
54,1774265771.529362,1.211369083931413,-0.09246694739808088,-0.08642272067677846
57,1774265771.806963,1.3133668963152099,-0.07756538505534616,-0.16831996215670428
60,1774265772.085414,1.50449365044602,-0.04017663192839556,-0.3032888027831498
63,1774265772.365134,1.5914873142635393,-0.06514255366571112,-0.33614033315480374
66,1774265772.642630,1.6463323748493726,-0.09433764076586668,-0.3006367661067218
69,1774265772.919740,2.1260670868896936,-0.31937555966730424,-0.7766456900601905
72,1774265773.195569,2.143303393923707,-0.3548884460574378,-0.7327066726700113
75,1774265773.473723,2.0237176875637384,-0.23865427538793282,-0.5826293332953333
78,1774265773.750477,2.092450511710544,-0.31052944018478873,-0.6230425315335968
81,1774265774.028702,2.1356980046393628,-0.3915428815047186,-0.6550210935394344
84,1774265774.308013,2.1867172453514967,-0.5197891101605295,-0.7929942491051999
87,1774265774.587409,2.236922124019582,-0.6055171581686212,-0.9156150798397108
90,1774265774.866308,2.266931671620132,-0.7057898047317511,-0.9941925551616856
93,1774265775.145187,2.2903611885556137,-0.8051700205055311,-1.0724213084764798
96,1774265775.423431,2.4088911971804743,-0.9329339703718855,-1.3976080531467907
99,1774265775.701966,2.4001621803219164,-1.0316800920698153,-1.5347402999047233
102,1774265775.980098,2.3810081249891804,-1.1137216715543938,-1.6554267374137766
105,1774265776.256843,2.3599052476846025,-1.191392062103823,-1.6930852720756395
108,1774265776.534669,2.332573521767887,-1.2525352964203664,-1.7344965276515731
111,1774265776.813380,2.2809848112949402,-1.3452291340099791,-1.6396268152432454
114,1774265777.091201,2.2798429371778046,-1.4409533261934333,-1.6046216639668938
117,1774265777.366864,2.2670609365225296,-1.516104555800179,-1.5883650723405902
120,1774265777.642654,2.268769519467497,-1.5735268477763187,-1.6233631428392215
123,1774265777.918801,2.261711657820386,-1.6512818285614626,-1.592676184838356
126,1774265778.194989,2.262016799535565,-1.7407591857961635,-1.5967746813874057
129,1774265778.471578,2.2571083791933013,-1.841195079793787,-1.5737841153292396
132,1774265778.747080,2.248079026623526,-1.9279370651587393,-1.6178387039562379
135,1774265779.023859,2.253085762134785,-2.09161730462938,-1.8691348778963575
138,1774265779.300681,2.191568578939167,-2.1046418467519454,-1.9383657885240564
141,1774265779.577355,2.1207958290416555,-2.1733175908605595,-2.0782081004651216
144,1774265779.854996,2.040387979813272,-2.219366173543188,-2.2038367280758795
147,1774265780.133722,1.9562885774973673,-2.246474861740212,-2.3053434562759203
150,1774265780.412228,1.848896433116363,-2.2961895852233125,-2.4168060847647275
153,1774265780.692876,1.7350578489240185,-2.366577579002087,-2.5431504894278825
156,1774265780.973195,1.6222263604208043,-2.404564578978639,-2.651782193061266
159,1774265781.253770,1.4799626673524813,-2.488161931974938,-2.771624142333165
162,1774265781.531733,1.421522777975043,-2.4865553888026684,-2.8202357670524636
165,1774265781.811240,1.3220380226936856,-2.458308294780476,-2.884594867423277
168,1774265782.089892,1.22243201535748,-2.475118720838958,-2.915095298749346
171,1774265782.369257,1.105747964458281,-2.495594101532139,-2.9398630560424035
174,1774265782.647801,1.0060726496562067,-2.5020906149521176,-2.976715359629864
177,1774265782.925586,0.8913179986007747,-2.5358204455543043,-2.994093043333387
180,1774265783.204263,0.788513618304045,-2.551052008624877,-2.9890510994388366
183,1774265783.482766,0.6579784885903985,-2.5698453556210725,-2.9817581100217643
186,1774265783.761073,0.5503303044975133,-2.5913895728939713,-2.949368331600647
189,1774265784.039782,0.4080401233617453,-2.6303228336735267,-2.9659403580062995
192,1774265784.317659,0.25997560776325596,-2.6592046330572545,-3.0183895854353557
195,1774265784.596325,0.12093988939345846,-2.6815054374444967,-3.048431644556293
198,1774265784.875176,-0.01971554738861255,-2.7060776820868346,-3.1126833621144447
