keyframe_id,processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta,correction_dx,correction_dy,correction_dtheta
0,0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.37692855593593755,-0.02395388612115563,-0.07027059151256333,2.1149748619109232e-14,-2.2095103524577553e-12,-5.979483416075792e-12
2,10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.17979520454895392,0.06429141051235798,-0.029619282116925275,-4.867495295712843e-13,-3.2439745334400527e-12,-1.197177335821251e-11
3,12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.023754222133602083,0.12130908733041072,-0.02789702382583301,-1.3388214148424282e-12,-3.061148556859905e-12,-1.7973934155033967e-11
4,15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950062466328,0.18688502729508508,-0.04867012716464863,-2.588290692884243e-12,-1.6170120797909249e-12,-2.398611164598535e-11
5,17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156712201,0.19472835667543115,-0.07650314204243061,-3.888334099144686e-12,1.1107503805618535e-12,-3.0002394026724014e-11
6,18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.6676043285603267,0.2082507261542919,-0.09100157754650039,-5.273892433876881e-12,5.15401610279298e-12,-3.6021989863388137e-11
7,20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.8836472351306507,0.20092988481219937,-0.11200356848261929,-6.619038650512721e-12,1.049008102604887e-11,-4.204118367180197e-11
8,23,69,1773837365.245823,1.177247107699459,0.19575694768610993,-0.13200930573785935,1.176767671912544,0.1957676829184851,-0.13857492211571887,-0.0017393176828721657,0.00774425185502986,-0.006565616377859501
9,26,78,1773837365.953307,1.4532944508234604,0.17827937646236108,-0.12393907019084015,1.4522148792355776,0.17648881573469694,-0.13706611220817624,-0.0032945717477053105,0.017301708956498407,-0.013127042017336117
10,29,87,1773837366.66386,1.6929838202395986,0.16338699407738938,-0.1343406960140044,1.6912086743008579,0.15846212966494833,-0.15402511231574387,-0.004663130937597071,0.02843003507298264,-0.019684416301739463
11,31,93,1773837367.136303,1.9312413586045571,0.1651860094799004,-0.1406668659515276,1.928976029080799,0.15558187410883223,-0.16690943756596596,-0.005934779362153808,0.04112766368689501,-0.02624257161443833
12,33,99,1773837367.610543,2.246397116921817,0.13234853706509045,-0.13922742284918976,2.2426821974595685,0.1144968951370788,-0.17201726313372293,-0.006846303974141765,0.05586530454524295,-0.032789840284533175
13,36,108,1773837368.321232,2.459107321347046,0.12540132562735642,-0.13823313276631918,2.4545708690052876,0.10059066950975362,-0.1775673133804532,-0.007565646081974631,0.07198837160042706,-0.03933418061413404
14,38,114,1773837368.794329,2.7798149116367235,0.09962233798758557,-0.14579913854867,2.7735372257615825,0.06223083925812067,-0.1916676815179289,-0.0079218692862284,0.09017463570406531,-0.04586854296925892
15,41,123,1773837369.502277,3.0231264459751115,0.08829467906717439,-0.1369876673311068,3.015594013753636,0.03976939722140078,-0.18938512576749233,-0.008007694484553074,0.10992756598875086,-0.05239745843638556
16,43,129,1773837369.975641,3.260039889502815,0.08054250761517517,-0.13267781259850878,3.251296865476713,0.01963061755688769,-0.19159943651918926,-0.007828576504517848,0.1312035986639457,-0.05892162392068047
