processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1774268091.893148,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1774268092.123623,2.857083038626883,-0.4619460160260611,1.8024853348372967,2.8570830386268833,-0.4619460160260611,1.8024853348372967
2,4,1774268092.249627,2.83230490765311,-0.44545696550602903,1.8040389135653248,2.8323049076531106,-0.44545696550602903,1.8040389135653248
3,6,1774268092.426284,2.900781734064326,-0.43997952042716965,1.8045386054058727,2.9007817340643265,-0.43997952042716965,1.8045386054058727
4,8,1774268092.603008,2.8850609646398175,-0.4230929004940528,1.8578121570341004,2.885060964639818,-0.4230929004940528,1.8578121570341004
5,10,1774268092.779486,2.8978795454239608,-0.4315515475621446,1.8699098387830482,2.897879545423961,-0.4315515475621446,1.8699098387830482
6,12,1774268092.953946,2.9271406092834975,-0.414904697391699,1.8791601310005133,2.927140609283498,-0.414904697391699,1.8791601310005133
7,14,1774268093.129109,2.9101882840639908,-0.43622340738206394,1.8922934367722175,2.910188284063991,-0.436223407382064,1.8922934367722175
8,16,1774268093.30479,2.9983125006764264,-0.4240070756662754,1.9487778650239693,2.998312500676427,-0.42400707566627543,1.9487778650239693
9,18,1774268093.479952,2.9844728222869588,-0.42389722951476927,1.9068274447422637,2.984472822286959,-0.4238972295147693,1.9068274447422637
10,20,1774268093.654168,3.0162903852514535,-0.43943170136774184,1.9216647153658555,3.016290385251454,-0.4394317013677419,1.9216647153658555
11,22,1774268093.829859,3.029333720666604,-0.45040386824941137,1.9457086662754615,3.0293337206666044,-0.4504038682494114,1.9457086662754615
12,24,1774268094.004902,2.966826521667143,-0.4283328757397026,1.9266009991169117,2.9668265216671434,-0.4283328757397026,1.9266009991169117
13,26,1774268094.179011,3.0346087427528747,-0.4247261897103216,1.9289244212769787,3.034608742752875,-0.4247261897103216,1.9289244212769787
14,28,1774268094.353076,2.9903124864599384,-0.46434574007221496,1.890527191756802,2.990312486459939,-0.46434574007221496,1.890527191756802
15,30,1774268094.527083,2.9676278599427492,-0.46316854534786805,1.8789353111593872,2.9676278599427497,-0.46316854534786805,1.8789353111593872
16,32,1774268094.700039,3.00102218594126,-0.44585607709786823,1.9164987919471161,3.0010221859412605,-0.44585607709786823,1.9164987919471161
17,34,1774268094.874171,2.9878516995239996,-0.454438230568171,1.8926585168421846,2.987851699524,-0.45443823056817106,1.8926585168421846
18,36,1774268095.049504,2.96582985995911,-0.4373843998705422,1.89801958426042,2.9658298599591104,-0.43738439987054223,1.89801958426042
19,38,1774268095.224392,2.9691190375661427,-0.44603426124257456,1.8985104033503688,2.969119037566143,-0.4460342612425746,1.8985104033503688
20,40,1774268095.399499,2.9723064202548333,-0.4720465927903501,1.8858249061250352,2.9723064202548337,-0.47204659279035016,1.8858249061250352
21,42,1774268095.574426,3.10742191001097,-0.4446158498495985,1.958323725049276,3.1074219100109706,-0.44461584984959857,1.958323725049276
22,44,1774268095.749864,3.0663149096984155,-0.4403487462993559,1.9561275873359878,3.066314909698416,-0.44034874629935594,1.9561275873359878
23,46,1774268095.92365,3.0735336647589264,-0.45021036463832725,1.9807678602523642,3.073533664758927,-0.4502103646383273,1.9807678602523642
24,48,1774268096.098187,3.0724273075492525,-0.4437939032364353,2.0038298780044292,3.072427307549253,-0.44379390323643536,2.0038298780044292
25,50,1774268096.271439,3.10179298466209,-0.44447369181739776,1.9960613940901049,3.1017929846620906,-0.4444736918173978,1.9960613940901049
26,52,1774268096.44534,3.081566451345232,-0.47376623108081484,2.0091972425462807,3.0815664513452323,-0.4737662310808149,2.0091972425462807
27,54,1774268096.618986,3.0773537843501955,-0.4859670413052371,1.986819238985062,3.077353784350196,-0.48596704130523716,1.986819238985062
28,56,1774268096.792189,3.106854234839511,-0.4925835337949086,1.9762117840575473,3.1068542348395116,-0.49258353379490866,1.9762117840575473
29,58,1774268096.966606,3.1191493528105583,-0.4935989424820221,1.9700404184390097,3.1191493528105587,-0.49359894248202213,1.9700404184390097
30,60,1774268097.139646,3.123758991753614,-0.48370429812662313,1.9756630805055355,3.1237589917536144,-0.4837042981266232,1.9756630805055355
31,62,1774268097.313681,3.0851903650747685,-0.5014549419025774,1.9627863380951753,3.085190365074769,-0.5014549419025774,1.9627863380951753
32,64,1774268097.488253,3.122130774470039,-0.4828088776941784,1.964534866832515,3.1221307744700395,-0.48280887769417846,1.964534866832515
33,66,1774268097.661976,3.120165337886542,-0.48451536227009445,1.9636582798938846,3.1201653378865424,-0.4845153622700945,1.9636582798938846
34,68,1774268097.83553,3.140572956670716,-0.47329288243179246,1.9768778701532603,3.1405729566707166,-0.4732928824317925,1.9768778701532603
35,70,1774268098.00942,3.1353337636973886,-0.4470299127715908,1.9709469455868702,3.135333763697389,-0.4470299127715909,1.9709469455868702
