keyframe_id,processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta,correction_dx,correction_dy,correction_dtheta
0,0,0,1774268091.893148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1774268092.123623,2.857083038626883,-0.4619460160260611,1.8024853348372967,2.857083038626883,-0.4619460160260611,1.8024853348372967,4.440892098500626e-16,0.0,-3.4532993217717495e-18
2,21,42,1774268095.574426,3.10742191001097,-0.4446158498495985,1.958323725049276,3.10742191001097,-0.4446158498495985,1.958323725049276,4.440892098500626e-16,-1.1102230246251565e-16,2.0825577958446942e-17
3,167,334,1774268120.885891,3.0684563258601183,-0.49680884495955896,2.1705777228472494,3.0684563258601183,-0.49680884495955896,2.1705777228472494,4.440892098500626e-16,0.0,2.482914317208889e-17
4,173,346,1774268121.918902,3.390260285321319,-0.32404880079028164,2.308361114176006,3.390260285321319,-0.32404880079028164,2.308361114176006,-4.440892098500626e-16,1.6653345369377348e-16,2.301885414511294e-17
5,179,358,1774268122.953198,3.6038297510200636,-0.19305422326475452,2.4156937727998833,3.6038297510200636,-0.19305422326475452,2.4156937727998833,0.0,-8.326672684688674e-17,1.9768732280675008e-17
6,183,366,1774268123.647403,3.3619837608295207,0.09383103414494783,2.4030072216660665,3.3619837608295207,0.09383103414494783,2.4030072216660665,-4.440892098500626e-16,3.191891195797325e-16,-2.767873938350478e-17
7,186,372,1774268124.163428,3.1726603982119395,0.3295062869550244,2.357544003251866,3.1726603982119395,0.3295062869550244,2.357544003251866,0.0,-5.551115123125783e-17,7.485408837671124e-17
8,191,382,1774268125.024163,2.9780797025445755,0.5753475835095501,2.357447940874915,2.9780797025445755,0.5753475835095501,2.357447940874915,4.440892098500626e-16,5.551115123125783e-16,-2.434106658167138e-17
9,195,390,1774268125.710618,2.7526939589087274,0.7717542198613978,2.255401628248011,2.7526939589087274,0.7717542198613978,2.255401628248011,0.0,0.0,3.2975003292856592e-18
10,212,424,1774268128.632535,3.0308259179311827,0.9164319690337852,2.3823981476194627,3.0308259179311827,0.9164319690337852,2.3823981476194627,0.0,-1.1102230246251565e-16,-8.374761016305879e-17
11,217,434,1774268129.495977,2.924172536519035,0.7826295851457189,2.173856454546288,2.924172536519035,0.7826295851457189,2.173856454546288,0.0,-1.1102230246251565e-16,6.695207451959239e-17
12,224,448,1774268130.706576,2.9294739432848016,0.7752919289653252,1.9731067595958438,2.9294739432848016,0.7752919289653252,1.9731067595958438,0.0,-1.1102230246251565e-16,-4.6583466507052135e-18
13,231,462,1774268131.916675,3.1227345288788295,0.8482428669017175,1.9605489540190413,3.1227345288788295,0.8482428669017175,1.9605489540190413,-4.440892098500626e-16,1.1102230246251565e-16,-1.0018272953518332e-17
14,234,468,1774268132.432794,3.0224139726321266,1.0272288928734765,2.1439501130521093,3.0224139726321266,1.0272288928734765,2.1439501130521093,0.0,0.0,5.5001958442139296e-17
15,237,474,1774268132.94911,3.0893811528287385,0.8918240185295065,2.3445723815972803,3.0893811528287385,0.8918240185295065,2.3445723815972803,0.0,0.0,1.2764066757168911e-17
16,240,480,1774268133.464198,3.2055160454324767,1.0012610110278217,2.611731752601982,3.2055160454324767,1.0012610110278217,2.611731752601982,-4.440892098500626e-16,2.220446049250313e-16,-2.457590981730362e-17
17,256,512,1774268136.214091,3.002030220542966,0.981051105240048,2.784107489146208,3.002030220542966,0.981051105240048,2.784107489146208,0.0,1.1102230246251565e-16,-3.0053686712817203e-17
18,258,516,1774268136.556919,2.8103012211543423,1.1334972055602348,2.7967961913405053,2.8103012211543423,1.1334972055602348,2.7967961913405053,0.0,0.0,2.4904197227413808e-17
19,261,522,1774268137.072172,2.644531895516346,1.256139995224549,2.7727144754706194,2.644531895516346,1.256139995224549,2.7727144754706194,0.0,2.220446049250313e-16,-3.1932819887618746e-17
20,263,526,1774268137.417701,2.392519689655316,1.3713344654824826,2.7655965725509435,2.392519689655316,1.3713344654824826,2.7655965725509435,-4.440892098500626e-16,0.0,2.3938032044495366e-17
21,268,536,1774268138.277762,2.1274896847310885,1.4737974573291994,2.7822349243033124,2.1274896847310885,1.4737974573291994,2.7822349243033124,0.0,-2.220446049250313e-16,2.5599987384275685e-17
22,271,542,1774268138.795055,1.9711556775453944,1.6174649534363374,2.769716869139789,1.9711556775453944,1.6174649534363374,2.769716869139789,0.0,0.0,1.6771248995604025e-18
23,273,546,1774268139.140159,1.7805455193101964,1.7759042922761856,2.7789110015449716,1.7805455193101964,1.7759042922761856,2.7789110015449716,-2.220446049250313e-16,2.220446049250313e-16,-5.141356616095749e-17
24,286,572,1774268141.378581,1.5076290024819132,1.9641116617584886,2.940395636764174,1.5076290024819132,1.9641116617584886,2.940395636764174,0.0,4.440892098500626e-16,-1.5369665903938097e-17
25,288,576,1774268141.723069,1.1856887070020257,1.9202154018644193,2.9264372626072648,1.1856887070020257,1.9202154018644193,2.9264372626072648,0.0,4.440892098500626e-16,-2.2941260344721638e-17
26,290,580,1774268142.069153,0.9778726185868113,1.9687778666473903,2.940909065739276,0.9778726185868113,1.9687778666473903,2.940909065739276,-1.1102230246251565e-16,0.0,-9.843359925490586e-18
27,292,584,1774268142.415744,0.8075687787913594,2.0758093765067867,2.9446702924391635,0.8075687787913594,2.0758093765067867,2.9446702924391635,0.0,0.0,1.5311243101636178e-17
28,296,592,1774268143.102055,0.557772227682983,2.0200890961299813,2.9606097322940026,0.557772227682983,2.0200890961299813,2.9606097322940026,0.0,0.0,-2.1892957540673422e-17
29,299,598,1774268143.616261,0.3493699927887635,2.1542433966173404,2.9501873387891626,0.3493699927887635,2.1542433966173404,2.9501873387891626,0.0,4.440892098500626e-16,-4.5257938322512734e-17
30,301,602,1774268143.959282,0.16701204661336572,2.2604682864082717,2.8844952735414204,0.16701204661336572,2.2604682864082717,2.8844952735414204,5.551115123125783e-17,0.0,3.352904991760937e-17
31,303,606,1774268144.302017,-0.05908845241598663,2.3818641896207917,2.86256276828299,-0.05908845241598663,2.3818641896207917,2.86256276828299,-7.632783294297951e-17,-4.440892098500626e-16,3.294245044312756e-17
32,306,612,1774268144.815936,-0.3606447840362241,2.457565267604668,2.8845433584051245,-0.3606447840362241,2.457565267604668,2.8845433584051245,5.551115123125783e-17,4.440892098500626e-16,-2.3712939304318915e-17
33,308,616,1774268145.158416,-0.6237712386884688,2.6042531820732053,2.845804388869799,-0.6237712386884688,2.6042531820732053,2.845804388869799,0.0,0.0,4.2540909235952745e-17
34,311,622,1774268145.674842,-1.0321042678234646,2.682019268311099,2.7943810485572853,-1.0321042678234646,2.682019268311099,2.7943810485572853,-2.220446049250313e-16,0.0,2.935370103245007e-17
35,315,630,1774268146.363597,-1.427579288222737,2.8555112812686287,2.808348297778603,-1.427579288222737,2.8555112812686287,2.808348297778603,0.0,4.440892098500626e-16,1.5008516677799412e-17
36,318,636,1774268146.877856,-1.6017741178099878,2.9956673349141636,2.7136011199575294,-1.6017741178099878,2.9956673349141636,2.7136011199575294,4.440892098500626e-16,0.0,8.251083164634781e-17
37,321,642,1774268147.393767,-1.8647635092939097,3.234491897036847,2.7415141681547803,-1.8647635092939097,3.234491897036847,2.7415141681547803,0.0,0.0,-7.642058692509227e-18
38,323,646,1774268147.735916,-2.0372950474741875,3.382620845258102,2.7162528196495352,-2.0372950474741875,3.382620845258102,2.7162528196495352,0.0,-4.440892098500626e-16,5.3299278178144566e-18
39,325,650,1774268148.077887,-2.2471405236161925,3.549410061952759,2.7288234074261233,-2.2471405236161925,3.549410061952759,2.7288234074261233,0.0,0.0,1.5525581859690795e-17
40,328,656,1774268148.591818,-2.463817901182742,3.729312771669086,2.73297947714971,-2.463817901182742,3.729312771669086,2.73297947714971,0.0,0.0,6.539837287097193e-17
