experiment_family,setting_label,sequence,label,drift_m,loop1_error_m,loop2_error_m,total_distance_m,runtime_seconds,keyframe_count,processed_scan_count,output_dir
voxel_grid,0.10 m,outdoor_02,Building exterior,2251.157,2251.15745559815,2251.15745559815,3850.896,10.055,216,4796,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/voxel_grid/outdoor_02/voxel_grid_0p10m
scan_rate,all,indoor_large_03,Marshgate large-classroom,0.886,1.2335403755623127,0.9046961035115529,52.32,3.355,220,1234,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_large_03/scan_rate_all
scan_rate,all,indoor_small_01,Marshgate small-room,3.586,1.8794001588073483,3.5863302784377966,21.632,1.511,97,659,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_small_01/scan_rate_all
scan_rate,all,outdoor_02,Building exterior,7.0,13.47708782008598,7.026668429413021,221.28,13.404,436,4796,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/outdoor_02/scan_rate_all
scan_rate,1/2,indoor_large_03,Marshgate large-classroom,0.915,1.1425252454996706,0.9439613706012244,50.496,3.239,198,617,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_large_03/scan_rate_1_2
scan_rate,1/2,indoor_small_01,Marshgate small-room,0.608,0.7354164695696234,0.6003172137382984,21.192,1.141,89,330,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_small_01/scan_rate_1_2
scan_rate,1/2,outdoor_02,Building exterior,2.82,8.04698612639414,2.7365252560285205,173.291,8.045,355,2398,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/outdoor_02/scan_rate_1_2
scan_rate,1/3,indoor_large_03,Marshgate large-classroom,0.687,1.0668049064603193,0.674059788241648,50.09,2.144,184,412,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_large_03/scan_rate_1_3
scan_rate,1/3,indoor_small_01,Marshgate small-room,1.978,0.6470376156934686,1.9794518110297543,22.123,0.886,84,220,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/indoor_small_01/scan_rate_1_3
scan_rate,1/3,outdoor_02,Building exterior,3.708,5.310783548068496,3.651063900256917,149.886,5.685,307,1599,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3b/scan_rate/outdoor_02/scan_rate_1_3
