scan_index,timestamp,x,y,theta
0,1774265766.515001,0.0,0.0,0.0
1,1774265766.651311,-0.005702124795075503,-0.0017618964893247257,0.0029567960703960703
2,1774265766.715578,-0.0047711742918082585,-0.0004974968938231039,-0.004089163563479875
3,1774265766.801871,-0.01407847272169273,-0.0047368629298331355,0.00849760635963403
4,1774265766.896124,-0.009610460502431412,-0.003075252066947474,0.0037503213135892345
5,1774265766.990265,-0.002232163734341457,-0.0020248715126864572,-0.002377267725565721
6,1774265767.083562,0.0018178454979896098,-0.0021163006173039733,-0.003196926652621746
7,1774265767.177076,0.004815219733143468,-0.003300938286520114,-0.004428471151112963
8,1774265767.270847,0.011979402121527281,-0.003617718272685747,-0.007904405715185688
9,1774265767.364680,0.021180576310780498,-0.003039950791466623,-0.012150382814739007
10,1774265767.458018,0.019429516694836477,-0.008669825958786587,-0.00065611408330301
11,1774265767.551296,0.036935021844182056,-0.007413088104338016,-0.010295655782051138
12,1774265767.645258,0.055908725602365796,-0.006283881527185205,-0.01854309794201494
13,1774265767.737906,0.0631058428263246,-0.009543097051663708,-0.015208365091457102
14,1774265767.830587,0.07910199952851471,-0.010687651924077623,-0.022535192551121623
15,1774265767.923173,0.0948687776958654,-0.007357986203210864,-0.019405278300101792
16,1774265768.015148,0.10790156485825758,-0.0058913780805706735,-0.016739123393727722
17,1774265768.108455,0.1399944687297776,-0.006355241125697523,-0.031002633541061034
18,1774265768.201460,0.16222553292376368,-0.0025788301709155094,-0.03408875587260881
19,1774265768.293433,0.19707721722201013,-0.0030100663537885076,-0.05333493950333465
20,1774265768.386976,0.22917200859279035,-0.01727384237427703,-0.06536579712176223
21,1774265768.479034,0.2562158637825603,-0.021993625915314462,-0.0730500791419082
22,1774265768.572152,0.28272398688629,-0.017522412328842718,-0.08534325431434378
23,1774265768.664043,0.31507722622668216,-0.018809404673862586,-0.09080416130850875
24,1774265768.757498,0.3437657607193517,-0.024079408097222185,-0.08197176068836261
25,1774265768.849957,0.3809700495055386,-0.028768532338522137,-0.08743904929049494
26,1774265768.942578,0.41436740457354787,-0.0328187193034658,-0.0838661169887561
27,1774265769.035231,0.44539633308240956,-0.03621366244925243,-0.08380523513739584
28,1774265769.128131,0.4630639360331991,-0.04167541526790414,-0.08295564474225613
29,1774265769.220235,0.4874387794958227,-0.04590229458610395,-0.07436518383864581
30,1774265769.313069,0.5196894191766186,-0.04477545491637643,-0.08789972158454173
31,1774265769.405884,0.5361639025150189,-0.05243039613119729,-0.08755286351663562
32,1774265769.497590,0.5712923329498645,-0.05292883873469475,-0.08367437900311811
33,1774265769.589815,0.5983698728511699,-0.05977686081174012,-0.08462174243497564
34,1774265769.681962,0.6247512452265307,-0.06567204765700183,-0.08400136190633876
35,1774265769.774093,0.6625204001541443,-0.06965449072950577,-0.08580124300245283
36,1774265769.865751,0.7182370106212999,-0.06792272780683888,-0.04824748660723817
37,1774265769.956968,0.7757345722310127,-0.07122167107734666,-0.004743688782542419
38,1774265770.049554,0.8028280686329313,-0.07251662143325051,0.004378237849124618
39,1774265770.141447,0.8377561442031337,-0.07331898349397212,0.005332885027582951
40,1774265770.235197,0.8603700518782724,-0.07434295181644376,0.016354831248962334
41,1774265770.327461,0.862145174512511,-0.06615767534858637,-0.01441260636258432
42,1774265770.419716,0.8844937455931352,-0.06354463362252405,-0.022247241255195116
43,1774265770.511340,0.9169022807781742,-0.06688754459821963,-0.029915772148458912
44,1774265770.603598,0.9461415629508269,-0.06969344716445038,-0.0246489488785487
45,1774265770.695998,0.9711823477027267,-0.07681623472381728,-0.005382750862195225
46,1774265770.787990,0.9955399231771557,-0.08153641937171098,-0.007530038912135612
47,1774265770.880504,1.0176910263443333,-0.07871144895172447,7.542972029697441e-06
48,1774265770.972939,1.0441736543073556,-0.07785001684419751,0.005652348422081989
49,1774265771.065236,1.0700387021077564,-0.07373325312886839,0.0008515368310245044
50,1774265771.158399,1.099886394516665,-0.07095623558122496,0.021226773733967395
51,1774265771.251500,1.1327600912487203,-0.06285327223367494,0.05004292785947225
52,1774265771.344301,1.168338082436884,-0.054674372019779593,0.06860128838110649
53,1774265771.436872,1.1952803409176982,-0.046615377822299346,0.0776870998220853
54,1774265771.529362,1.2271488944114508,-0.03682011720223334,0.1198865525622455
55,1774265771.622261,1.254605353315,-0.024457757539559907,0.13587489198656172
56,1774265771.714619,1.2846116661600473,-0.018988522622999215,0.12919748673132947
57,1774265771.806963,1.303830994723059,-0.010466548516956253,0.1126630556784472
58,1774265771.899601,1.3270297046708648,0.00020314906729735065,0.132843873752557
59,1774265771.992791,1.3593867250557687,0.006987709686869559,0.137888240413258
60,1774265772.085414,1.3867094624819285,0.014590107263262394,0.07852979690357806
61,1774265772.178532,1.412164564775822,0.020028168130707784,0.03939608110159595
62,1774265772.271576,1.4318486995413526,0.03050259555542095,0.05753098857916491
63,1774265772.365134,1.472228091577183,0.032018833361299286,0.06857979152652394
64,1774265772.456966,1.5030511713627397,0.03803505498844259,0.07649449834756822
65,1774265772.549764,1.532793294141932,0.04405874065436687,0.07711792300834798
66,1774265772.642630,1.5652083222867748,0.04808029694333211,0.06929704460902522
67,1774265772.734152,1.5842981270939291,0.05967323331896802,0.09167499648646067
68,1774265772.827494,1.6261359291963546,0.06290017124981243,0.1136084015725403
69,1774265772.919740,1.6627818831694374,0.06478806019124933,0.1374110011116126
70,1774265773.011149,1.7065395283357458,0.06921528721358554,0.14529158166536174
71,1774265773.104175,1.731948372124303,0.06951958021431295,0.11993307378811043
72,1774265773.195569,1.7553865928464538,0.07411785808280105,0.10792259267570982
73,1774265773.288728,1.761704431306813,0.06147773877129108,-0.048540029564938365
74,1774265773.381667,1.787958608726554,0.0654737374728213,-0.057273186892683285
75,1774265773.473723,1.8218958663803118,0.061091372724661294,-0.07577107049240177
76,1774265773.565693,1.8552978699030074,0.05542582923917114,-0.09324977566143113
77,1774265773.657305,1.876573039095573,0.0541863782466445,-0.1127770526551293
78,1774265773.750477,1.9081954011124875,0.04375024421366458,-0.13302857241742191
79,1774265773.842532,1.933599037090053,0.036178403735338434,-0.15368255230267477
80,1774265773.935152,1.9603334726372574,0.027478276250059493,-0.184770982429373
81,1774265774.028702,1.985970029833676,0.015727938881202195,-0.21335387827308658
82,1774265774.121649,2.0124897945293454,0.0032943604478433597,-0.24627026857049253
83,1774265774.214068,2.0449810549479155,-0.014375719011080696,-0.2669515652532139
84,1774265774.308013,2.0718056382574748,-0.028058803188053053,-0.31170748913749885
85,1774265774.400716,2.1001500505083417,-0.04590952047174193,-0.33031782263748327
86,1774265774.493566,2.127320583636832,-0.061442008217003324,-0.41268229018210384
87,1774265774.587409,2.152801020639924,-0.07823063475221433,-0.47114288737389765
88,1774265774.679974,2.181355666925519,-0.09434171518907147,-0.5341333445932044
89,1774265774.772991,2.2085472999041476,-0.11888736523926072,-0.5841091647356549
90,1774265774.866308,2.239738669971684,-0.14047022161432884,-0.6338523059842829
91,1774265774.959257,2.259957878479118,-0.1674110475777351,-0.6642043035344569
92,1774265775.051628,2.2798345470155623,-0.19910891638787198,-0.676709404957565
93,1774265775.145187,2.300489858885815,-0.22667641975054442,-0.6998841694558994
94,1774265775.238083,2.3211562771943446,-0.2536094526050249,-0.7446865355059953
95,1774265775.331130,2.338284641141609,-0.2776352321318847,-0.7911663049906502
96,1774265775.423431,2.355022396616579,-0.300644806978433,-0.8297058836350393
97,1774265775.516981,2.375022441894887,-0.3328699165764857,-0.892471109513019
98,1774265775.609192,2.3913142096035402,-0.363864898274605,-0.9319705135038929
99,1774265775.701966,2.404208746583729,-0.38940722312675263,-0.9674840850375585
100,1774265775.794204,2.41381291294448,-0.41655348146372023,-0.9914159972034958
101,1774265775.887003,2.424719485504734,-0.44481211343585986,-1.0367203313032674
102,1774265775.980098,2.420689047601261,-0.4664812877050571,-0.9596048266421521
103,1774265776.071570,2.4300898419063097,-0.4995542474386562,-0.9855608222357309
104,1774265776.163861,2.4326900867757,-0.5254954242217241,-1.0240610360224505
105,1774265776.256843,2.4423452332531905,-0.5535112483944805,-1.0528360503246703
106,1774265776.349975,2.4528253220852747,-0.587004987426166,-1.078981855854976
107,1774265776.441779,2.459853665031183,-0.6100851203981854,-1.093213730175094
108,1774265776.534669,2.467405211875988,-0.6348041602155606,-1.0998557537769207
109,1774265776.628190,2.470958977154825,-0.6482567833482172,-1.1197579935342783
110,1774265776.720880,2.4805527864974013,-0.6890924125574003,-1.1418003871500044
111,1774265776.813380,2.4851499506830566,-0.7265014198672174,-1.056062288804377
112,1774265776.905564,2.500109170328744,-0.7583610204217902,-1.0439814054106156
113,1774265776.998403,2.5139661620979514,-0.7906770945443065,-1.052716856107565
114,1774265777.091201,2.5298601554345415,-0.8248024036112783,-1.0553501563896903
115,1774265777.183349,2.545056514443771,-0.8546039595828439,-1.085597540873589
116,1774265777.275720,2.5575967336036856,-0.8893695026125801,-1.0986724005515032
117,1774265777.366864,2.562694025108557,-0.904973972719235,-1.0864483789447983
118,1774265777.458718,2.5665405273516013,-0.9714108755554277,-1.0030435408248068
119,1774265777.550693,2.5829261199732017,-0.9973504472729802,-1.0163852040334629
120,1774265777.642654,2.5967604196147014,-1.0200881631278285,-1.0183657486207667
121,1774265777.735179,2.6117132967145182,-1.049660699334403,-1.0392305076834338
122,1774265777.826819,2.6248670161629475,-1.0740320672388222,-1.0457541530126466
123,1774265777.918801,2.6382989791234386,-1.0994627273626616,-1.0565412340349252
124,1774265778.010054,2.6529597582124125,-1.1308543228445258,-1.070606261063944
125,1774265778.103097,2.66319147175201,-1.15357899674273,-1.0639674277467552
126,1774265778.194989,2.67010093442841,-1.1670966345180374,-1.0774026974106756
127,1774265778.287726,2.6780906206428154,-1.1902004767585666,-1.0907350826834976
128,1774265778.379455,2.695687828739033,-1.21763489908098,-1.1023823092740945
129,1774265778.471578,2.7634932401802788,-1.2758394417701244,-1.2417985969821965
130,1774265778.563697,2.7662559648795333,-1.31025892715417,-1.222453232140983
131,1774265778.655736,2.7705660755282953,-1.33127404636836,-1.220220720551007
132,1774265778.747080,2.765761596185045,-1.3408354456241307,-1.2300875705441672
133,1774265778.839649,2.7530625458237616,-1.3481487043468154,-1.2530715128665424
134,1774265778.931410,2.7883166548078466,-1.4218969338999712,-1.2917313015620808
135,1774265779.023859,2.7889622306790876,-1.4583080369064871,-1.303937705509157
136,1774265779.116217,2.7903351614666123,-1.486206707300272,-1.3275052868858634
137,1774265779.208276,2.788185538054097,-1.5217613469077063,-1.39412843973702
138,1774265779.300681,2.7882603840748628,-1.5590833495597605,-1.4184321095345442
139,1774265779.393576,2.78386035777871,-1.5928730991875342,-1.4519405811463628
140,1774265779.485478,2.772923206341547,-1.623171864917722,-1.4961597725682028
141,1774265779.577355,2.7662271732344457,-1.657730867420403,-1.5358443970277742
142,1774265779.669315,2.747010548332211,-1.6685386180538895,-1.528229204622928
143,1774265779.762615,2.7355326249190357,-1.7192514916731774,-1.575419007513328
144,1774265779.854996,2.7255835098906984,-1.7342872782027678,-1.585912117278555
145,1774265779.946691,2.697020165686446,-1.7583695524952563,-1.6214196715273719
146,1774265780.040177,2.684709111616313,-1.79091969127495,-1.6541158885395273
147,1774265780.133722,2.6688800898467835,-1.8152965262614267,-1.6831035098524174
148,1774265780.226114,2.65500896028219,-1.8557094356724149,-1.7230101035923626
149,1774265780.319266,2.6266106723485554,-1.8720808396189763,-1.7430350148027047
150,1774265780.412228,2.5885770299865336,-1.8641481822337311,-1.7550336211367745
151,1774265780.505321,2.5781201823346747,-1.8946395113717753,-1.7850898494000764
152,1774265780.599041,2.550819900490013,-1.9225929345031714,-1.798554410177704
153,1774265780.692876,2.5348371292483196,-1.954149287505058,-1.8598343074382724
154,1774265780.785517,2.512119070790181,-1.9935138284271434,-1.8826893437598966
155,1774265780.879739,2.497217612481244,-2.018056171177073,-1.8965862848198418
156,1774265780.973195,2.477749231188261,-2.0539745764221435,-1.9365481524359929
157,1774265781.066481,2.4552845939161334,-2.087454546986521,-1.9566342583859193
158,1774265781.160219,2.440834849872869,-2.110864469121534,-1.9758140267597646
159,1774265781.253770,2.419217857832905,-2.13206769635363,-2.0026304492648377
160,1774265781.346537,2.403978537587649,-2.151194048200536,-2.022243888433065
161,1774265781.439789,2.3730575686143194,-2.175882716503563,-2.059955317744493
162,1774265781.531733,2.3658794400693597,-2.1821905320745034,-2.07093720435236
163,1774265781.624305,2.339144769175603,-2.2083193022856142,-2.0941934759192966
164,1774265781.717512,2.3187455929159624,-2.224072041368813,-2.1120025866494565
165,1774265781.811240,2.300496251986354,-2.2449841527111056,-2.121275005185172
166,1774265781.903199,2.278605226285581,-2.264052084608963,-2.1258032126444872
167,1774265781.996745,2.251237740787894,-2.3075140741135645,-2.163007495501858
168,1774265782.089892,2.233756485742667,-2.321586145092224,-2.164723576530355
169,1774265782.183187,2.2184033839282082,-2.3540693668390684,-2.1459354442382335
170,1774265782.276024,2.1991952035007842,-2.3817905291418837,-2.1526628545520543
171,1774265782.369257,2.1807356006999585,-2.4177084550240173,-2.1377551244736863
172,1774265782.462071,2.167342508863802,-2.4452096949306634,-2.1582482954106
173,1774265782.555138,2.1433686980761286,-2.4816789004326893,-2.172597883356802
174,1774265782.647801,2.1219466176884625,-2.512343193735409,-2.1796625540222205
175,1774265782.740930,2.104805154725263,-2.5441333612783033,-2.182250593439246
176,1774265782.832914,2.081810547070103,-2.580445259036625,-2.1812343841014146
177,1774265782.925586,2.0684921775443366,-2.6102073955306873,-2.1870175442526816
178,1774265783.017793,2.060282118129954,-2.642454357540454,-2.1911761394930362
179,1774265783.110908,2.0325516311441656,-2.678503223912231,-2.1919070033623775
180,1774265783.204263,2.0107933031862135,-2.714700057793325,-2.1924917393799084
181,1774265783.297296,1.9956600851212212,-2.7489424419106276,-2.2126412279160026
182,1774265783.390796,1.979365523989998,-2.7745140693806505,-2.202648914248152
183,1774265783.482766,1.9406345376898022,-2.8119979075928576,-2.1850820124210952
184,1774265783.576107,1.9172916016924746,-2.8537866150464626,-2.19054467684975
185,1774265783.669272,1.8910823994381396,-2.8910432749261274,-2.18431691886643
186,1774265783.761073,1.8729546293919117,-2.9204654279786486,-2.169440810576133
187,1774265783.854478,1.8533532684249263,-2.9568386121255292,-2.1673616753328155
188,1774265783.946718,1.833990732137827,-2.9935906523728733,-2.1606508869539933
189,1774265784.039782,1.8070093537626117,-3.0373075760268557,-2.1755033857508628
190,1774265784.132383,1.7814030690102363,-3.077834459215018,-2.1845911622453245
191,1774265784.224761,1.7420432142179727,-3.1362923777886613,-2.301962815829184
192,1774265784.317659,1.7232107486574306,-3.173199342441077,-2.328097731858713
193,1774265784.410408,1.6944471591057535,-3.2049344471392733,-2.3267784828364855
194,1774265784.504115,1.6616323598541287,-3.240413907153828,-2.3407065640854454
195,1774265784.596325,1.6317378786276484,-3.2708501872351303,-2.3423887197761806
196,1774265784.689783,1.6057405559534084,-3.304985102387788,-2.3521592316864672
197,1774265784.783154,1.5789191936991034,-3.33921525127043,-2.358971362257277
198,1774265784.875176,1.550678716283606,-3.374291814204894,-2.35576904420317
199,1774265784.967668,1.5189430971394584,-3.4090683577277443,-2.364177287272912
200,1774265785.059883,1.4958426765086428,-3.444122024909929,-2.355726575012406
201,1774265785.151869,1.4660801441908942,-3.482831667108088,-2.3471099197099767
202,1774265785.244624,1.441928841206088,-3.5190483005433753,-2.36220086613763
203,1774265785.336427,1.4092745792005845,-3.553921880860665,-2.3695576422051645
204,1774265785.428330,1.3779871086078226,-3.584471562244481,-2.382001169652047
205,1774265785.521240,1.353779750209205,-3.6094075917325332,-2.3956678709440737
206,1774265785.612938,1.3216415058316993,-3.6397937613872564,-2.406102733551066
207,1774265785.705495,1.2898726203216389,-3.6703980148515227,-2.4145762529839705
208,1774265785.797982,1.2587698926291624,-3.6913511491748734,-2.434541174516486
209,1774265785.890369,1.2197049355808187,-3.717039221267935,-2.372684304528636
210,1774265785.982856,1.1898577134184989,-3.7362362269484928,-2.409834167896677
211,1774265786.075468,1.1570783737291115,-3.7540007301854375,-2.4270717705201323
