scan_index,timestamp,x,y,theta
0,1773837359.790777,0.0,0.0,0.0
1,1773837359.914820,0.005593287572215395,0.0036734850516034383,0.002217344221551941
2,1773837359.973197,-0.006887682196990807,0.01223646826906495,-0.00957577524618323
3,1773837360.036302,0.005275759698580335,0.012883103616640022,-0.008204477206768866
4,1773837360.117627,-0.01029646790319888,0.0051588851248180285,0.0004923326885628235
5,1773837360.198084,0.023235775094039787,0.014337410503325189,-0.005022093004347026
6,1773837360.278349,0.014205393855145203,0.019888860628641477,-0.01109252556402867
7,1773837360.358193,-0.010428868706866833,0.00942299006876989,-0.006255976535878793
8,1773837360.438443,-0.003132851554036166,0.008529968115703408,-0.004321966568969087
9,1773837360.518550,-0.001927754331551921,0.010410237124282778,-0.005554058422514698
10,1773837360.598398,-0.006169115780959919,0.00459414014925584,0.0008668503837238466
11,1773837360.678075,-0.0014348835095679834,0.013195572640312554,-0.009395072371312884
12,1773837360.756797,0.002784541164444091,0.0092263534191021,-0.0034987897409893983
13,1773837360.837042,-0.013223243479668311,0.0027755749679688217,-6.504294198091115e-05
14,1773837360.916251,0.023155980660887223,0.02112278177435778,-0.010996995212713141
15,1773837360.994665,0.03029246789349682,0.01808275365358177,-0.007290417357092652
16,1773837361.073464,0.02961201653300977,0.021946414409432895,-0.008355879764858387
17,1773837361.153527,0.019976433943159153,0.023948205198973553,-0.00563092033754278
18,1773837361.231315,0.0004601263153636388,0.01814369714108432,0.012164173519981926
19,1773837361.310223,0.051210015470126304,0.03452284770681529,0.012415289421678645
20,1773837361.389678,0.07278869737482534,0.04960200780785222,0.007139232511459544
21,1773837361.467870,0.06770489625213455,0.0471037872669495,0.02252751589571141
22,1773837361.546569,0.0790761258598292,0.0604672501890956,0.01613773763696567
23,1773837361.625856,0.10798739999523205,0.07102174080608903,0.0160324965884218
24,1773837361.704287,0.16274102568112087,0.09418343777287294,0.0036365197213350155
25,1773837361.782957,0.16081445949137596,0.09390698550754124,0.01596037172248537
26,1773837361.861347,0.20504602301576172,0.10052299392123391,0.030018760107736908
27,1773837361.940263,0.22130463997205754,0.11024927405685155,0.034103405145670534
28,1773837362.018745,0.23935340185808832,0.12363172968937194,0.03165937669976792
29,1773837362.096999,0.26301804501534604,0.12482828597439959,0.0405489836042005
30,1773837362.175232,0.28649442715399154,0.13892550947056723,0.033494894665608024
31,1773837362.253709,0.32007711148590473,0.14394769654587372,0.041584996848134936
32,1773837362.332745,0.3551292868040854,0.15451135562474175,0.04337431484725181
33,1773837362.411259,0.3649901939373815,0.16703836525810845,0.03922439900773989
34,1773837362.489440,0.39150406846750835,0.17826402097323288,0.03784598849623483
35,1773837362.567800,0.45696384585242295,0.18632036997026089,0.04329524628425574
36,1773837362.647025,0.49673730324554366,0.1853006518548472,0.05690740572627199
37,1773837362.725602,0.5236104159622905,0.20642100866984503,0.0441109144132842
38,1773837362.803968,0.5123783221600225,0.21638301326143397,0.0397891257105021
39,1773837362.882996,0.5257556586447557,0.22597246030144275,0.03954358512531528
40,1773837362.961068,0.5970269103887383,0.23856465458870302,0.038821831280340446
41,1773837363.039952,0.6216216227099731,0.24690713433658146,0.03864400878223408
42,1773837363.119194,0.6711216476327849,0.2591979544060195,0.03520446587804542
43,1773837363.197375,0.6636191161671159,0.264892910453393,0.03183454812140335
44,1773837363.276125,0.7424811813848059,0.2765723168653938,0.026542462516550753
45,1773837363.354457,0.6987725572654262,0.2712796064976512,0.03500932988263688
46,1773837363.432920,0.7172505988874979,0.2865012870396783,0.0042958196839282484
47,1773837363.511484,0.7636261152397622,0.2920098014132916,0.0009713674627293707
48,1773837363.590818,0.7995449254571265,0.29963013555124557,-0.00946941304256375
