processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1773837360.036302,0.09337732811708521,0.034404478663411966,-0.013257090544612094,0.09337732811708523,0.034404478663411966,-0.013257090544612094
2,6,1773837360.278349,0.06072730880157085,0.008969674681844947,0.008796176250897797,0.06072730880157087,0.008969674681844949,0.008796176250897798
3,9,1773837360.51855,0.04118456637271448,0.0068987850168761395,0.009262023519225882,0.04118456637271452,0.006898785016876141,0.009262023519225884
4,12,1773837360.756797,0.042299942361124936,0.01572223496169894,-0.004309453467598269,0.04229994236112498,0.015722234961698944,-0.004309453467598267
5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.3769285559358154,-0.023953886121199957,-0.07027059150658384
6,18,1773837361.231315,-0.2705969999142429,0.0075943530371123565,-0.06808242676251842,-0.27059699991424285,0.007594353037112359,-0.06808242676251842
7,21,1773837361.46787,-0.2576126995021912,0.020796622375290116,-0.049010262351747325,-0.2576126995021911,0.02079662237529012,-0.049010262351747325
8,24,1773837361.704287,-0.24830235453130442,0.03695307714112713,-0.04836179088610551,-0.2483023545313044,0.03695307714112713,-0.04836179088610551
9,27,1773837361.940263,-0.26253318516104646,0.05658753405253256,-0.04090732905633273,-0.26253318516104646,0.05658753405253256,-0.04090732905633273
10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.17979520454923684,0.0642914105134495,-0.02961928210495351
11,33,1773837362.411259,-0.08204782120585781,0.09378038864794945,-0.03699431171805978,-0.08204782120585781,0.09378038864794945,-0.03699431171805978
12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.023754222132760495,0.12130908733389884,-0.027897023807859075
13,39,1773837362.882996,0.03320273474836678,0.14423634570986196,-0.0342362131375193,0.03320273474836677,0.14423634570986196,-0.0342362131375193
14,42,1773837363.119194,0.11250428966444488,0.1782031762320492,-0.03501581333242601,0.11250428966444487,0.1782031762320492,-0.03501581333242601
15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950062276885,0.18688502730231915,-0.04867012714066252
16,48,1773837363.590818,0.38918205247284215,0.1951298926218008,-0.07066192475942623,0.38918205247284215,0.1951298926218008,-0.07066192475942623
17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156692661,0.19472835668776883,-0.07650314201242821
18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.6676043285580991,0.20825072617318638,-0.09100157751047841
19,57,1773837364.300646,0.8147906624731761,0.20553831763672725,-0.11921456963089341,0.8147906624731762,0.20553831763672728,-0.11921456963089343
20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.8836472351288227,0.2009298848388589,-0.11200356844057814
21,63,1773837364.772637,0.876129693981556,0.1826745990485819,-0.09028058999794855,0.8761296939815562,0.18267459904858194,-0.09028058999794857
22,66,1773837365.009215,0.940420503134435,0.18355006204975843,-0.09873591694111791,0.940420503134435,0.18355006204975843,-0.09873591694111791
23,69,1773837365.245823,1.177247107699459,0.19575694768610993,-0.13200930573785935,1.177247107699459,0.19575694768610993,-0.13200930573785935
24,72,1773837365.481294,1.2710846924963186,0.18281443609031936,-0.12287309527746616,1.2710846924963186,0.1828144360903194,-0.12287309527746616
25,75,1773837365.717725,1.2678979322340311,0.1676543051666947,-0.11472704125890014,1.2678979322340311,0.16765430516669472,-0.11472704125890014
26,78,1773837365.953307,1.4532944508234604,0.17827937646236108,-0.12393907019084015,1.4532944508234604,0.1782793764623611,-0.12393907019084016
27,81,1773837366.190499,1.508466418371528,0.15723611992224262,-0.1359504141586549,1.508466418371528,0.15723611992224262,-0.1359504141586549
28,84,1773837366.427136,1.6390803002375072,0.1652715246331324,-0.1339948919144271,1.6390803002375072,0.16527152463313244,-0.1339948919144271
29,87,1773837366.66386,1.6929838202395986,0.16338699407738938,-0.1343406960140044,1.6929838202395986,0.16338699407738938,-0.1343406960140044
30,90,1773837366.899897,1.826310178729595,0.1486623784641107,-0.12513095458575738,1.826310178729595,0.1486623784641107,-0.12513095458575738
31,93,1773837367.136303,1.9312413586045571,0.1651860094799004,-0.1406668659515276,1.9312413586045571,0.16518600947990036,-0.14066686595152758
32,96,1773837367.373736,2.1189624742053086,0.159300443888378,-0.1489602703477321,2.1189624742053086,0.159300443888378,-0.1489602703477321
33,99,1773837367.610543,2.246397116921817,0.13234853706509045,-0.13922742284918976,2.2463971169218167,0.13234853706509042,-0.13922742284918976
34,102,1773837367.847748,2.2379157887697767,0.1309068877025034,-0.1350897395498126,2.2379157887697763,0.13090688770250333,-0.1350897395498126
35,105,1773837368.085055,2.2800913108342744,0.1338050516677575,-0.1441698949829806,2.2800913108342744,0.1338050516677574,-0.14416989498298063
36,108,1773837368.321232,2.459107321347046,0.12540132562735642,-0.13823313276631918,2.459107321347046,0.12540132562735634,-0.1382331327663192
37,111,1773837368.557707,2.5644225418776525,0.1163897555531128,-0.14925130207315593,2.5644225418776525,0.11638975555311276,-0.14925130207315593
38,114,1773837368.794329,2.7798149116367235,0.09962233798758557,-0.14579913854867,2.7798149116367235,0.09962233798758557,-0.14579913854867
39,117,1773837369.030219,2.899179094240423,0.08682838182523639,-0.1462974383311473,2.899179094240423,0.08682838182523639,-0.1462974383311473
40,120,1773837369.266903,2.9724766608913407,0.07977830472791095,-0.13868952499161982,2.9724766608913407,0.07977830472791095,-0.13868952499161985
41,123,1773837369.502277,3.0231264459751115,0.08829467906717439,-0.1369876673311068,3.0231264459751115,0.08829467906717439,-0.13698766733110682
42,126,1773837369.739236,3.1846375405526555,0.07638703714427582,-0.14317312712886976,3.1846375405526555,0.07638703714427583,-0.1431731271288698
43,129,1773837369.975641,3.260039889502815,0.08054250761517517,-0.13267781259850878,3.2600398895028144,0.08054250761517522,-0.13267781259850878
44,132,1773837370.211409,3.42830751787313,0.05759781373010953,-0.1223742099425893,3.4283075178731295,0.057597813730109526,-0.12237420994258931
45,135,1773837370.447274,3.476512944126817,0.06938778430766078,-0.12186514456871758,3.4765129441268168,0.06938778430766072,-0.1218651445687176
46,138,1773837370.682266,3.6518373475984283,0.052379022462386605,-0.11376568583809415,3.651837347598428,0.05237902246238661,-0.11376568583809415
47,141,1773837370.919218,3.7516679334778185,0.03452002207625105,-0.09769921844689392,3.7516679334778185,0.03452002207625112,-0.0976992184468939
48,144,1773837371.155387,3.8699294848942776,0.03528589459978168,-0.09762714306069224,3.8699294848942776,0.03528589459978173,-0.09762714306069223
49,147,1773837371.391479,3.967262552969629,0.025844003897855055,-0.09039081468797029,3.967262552969629,0.02584400389785507,-0.09039081468797029
50,150,1773837371.628633,4.123977890579383,0.01722011701556807,-0.09230764042174024,4.123977890579383,0.0172201170155681,-0.09230764042174024
51,153,1773837371.865477,4.295271212612728,-0.006340437674705696,-0.10272751226470782,4.295271212612729,-0.0063404376747056524,-0.10272751226470782
52,156,1773837372.100734,4.410486018714952,-0.02609477094533512,-0.12303429074749739,4.410486018714952,-0.026094770945335088,-0.12303429074749739
53,159,1773837372.336665,4.537287650110235,-0.0490978094846936,-0.1504489085904761,4.537287650110235,-0.049097809484693576,-0.1504489085904761
54,162,1773837372.573728,4.658130701596487,-0.05617227645049977,-0.144539838939389,4.658130701596487,-0.05617227645049978,-0.144539838939389
55,165,1773837372.809982,4.759155870515303,-0.04293495970420896,-0.1676464281366026,4.759155870515303,-0.04293495970420901,-0.1676464281366026
56,168,1773837373.045826,4.8767708767071065,-0.079082188933476,-0.17621350064797314,4.876770876707106,-0.07908218893347606,-0.17621350064797314
57,171,1773837373.281631,4.987850926731714,-0.11516359884057198,-0.13068910838464895,4.9878509267317135,-0.11516359884057203,-0.13068910838464895
58,174,1773837373.518528,5.110737135267501,-0.11446393334668367,-0.1497045183861782,5.1107371352675,-0.11446393334668377,-0.1497045183861782
59,177,1773837373.754122,5.172428753829806,-0.1172400332970536,-0.15955067944950868,5.172428753829806,-0.11724003329705375,-0.15955067944950868
60,180,1773837373.989556,5.324802077009456,-0.14497511508658414,-0.19824684775949,5.324802077009456,-0.14497511508658434,-0.19824684775949
61,183,1773837374.223628,5.406030214993101,-0.2099340293309842,-0.2755288025932277,5.4060302149931,-0.20993402933098437,-0.2755288025932277
62,186,1773837374.459519,5.536932903341173,-0.2752590762514926,-0.37967772060450555,5.536932903341172,-0.2752590762514927,-0.37967772060450555
63,189,1773837374.694989,5.634125088600046,-0.36135562436786234,-0.4570636367130529,5.634125088600046,-0.3613556243678625,-0.45706363671305295
64,192,1773837374.931854,5.693337659204094,-0.44125433385437535,-0.521298977059446,5.693337659204094,-0.44125433385437557,-0.5212989770594461
65,195,1773837375.167619,5.773782528990159,-0.5326381429199781,-0.6002738435099444,5.773782528990159,-0.5326381429199782,-0.6002738435099444
66,198,1773837375.404365,5.883087697592575,-0.638468699258447,-0.6866569031601111,5.883087697592575,-0.6384686992584467,-0.6866569031601111
67,201,1773837375.640129,5.911072629243078,-0.7170067937603626,-0.7225595481525459,5.911072629243078,-0.7170067937603624,-0.7225595481525459
68,204,1773837375.875581,5.979731536650916,-0.8222663985827685,-0.8037928740474819,5.979731536650916,-0.8222663985827683,-0.8037928740474819
69,207,1773837376.112041,6.093866633330883,-0.9424956884629412,-0.9029437288557396,6.093866633330883,-0.9424956884629412,-0.9029437288557396
70,210,1773837376.347837,6.127592444136442,-1.0579361668608407,-0.9714437203283279,6.127592444136443,-1.0579361668608411,-0.9714437203283279
71,213,1773837376.583045,6.14367219551918,-1.1820514034289802,-1.0366662159528077,6.14367219551918,-1.1820514034289802,-1.0366662159528077
72,216,1773837376.818386,6.2099944507480425,-1.2846786723303938,-1.1006821220974625,6.2099944507480425,-1.2846786723303936,-1.1006821220974625
73,219,1773837377.053287,6.213646745588739,-1.3797800411700074,-1.1586833921921693,6.213646745588738,-1.3797800411700072,-1.1586833921921693
74,222,1773837377.289685,6.234181318228441,-1.522916506513545,-1.238650607263316,6.2341813182284405,-1.5229165065135453,-1.238650607263316
75,225,1773837377.525294,6.251423007600423,-1.6519304541506552,-1.3059855385822883,6.2514230076004225,-1.6519304541506552,-1.3059855385822883
76,228,1773837377.760492,6.274201329442316,-1.738696613626442,-1.3445394208200623,6.274201329442316,-1.738696613626442,-1.3445394208200623
77,231,1773837377.99758,6.265482456048171,-1.8676897275304074,-1.3965538643867297,6.265482456048171,-1.8676897275304072,-1.3965538643867297
78,234,1773837378.233562,6.136172872881173,-1.8790558783602285,-1.3762829361443916,6.136172872881174,-1.8790558783602285,-1.3762829361443916
79,237,1773837378.471029,6.20005393325556,-2.0175079883122145,-1.4606897647022534,6.200053933255561,-2.0175079883122145,-1.4606897647022534
80,240,1773837378.707195,6.213523676097135,-2.141396802830029,-1.5224873462183892,6.213523676097136,-2.141396802830029,-1.5224873462183892
81,243,1773837378.943797,6.155827039748542,-2.2113278739176696,-1.52438489880786,6.155827039748542,-2.21132787391767,-1.52438489880786
82,246,1773837379.179114,6.151780959671314,-2.2895912275188217,-1.537332463002783,6.151780959671314,-2.289591227518822,-1.537332463002783
83,249,1773837379.414866,6.128318273963477,-2.4018469308675092,-1.540620848940517,6.128318273963476,-2.4018469308675092,-1.540620848940517
84,252,1773837379.651338,6.1120982395049435,-2.5007329362898725,-1.5381656195637345,6.112098239504943,-2.5007329362898725,-1.5381656195637345
85,255,1773837379.88685,6.124878084330617,-2.6220706585670372,-1.5675976654253039,6.124878084330616,-2.6220706585670372,-1.5675976654253039
86,258,1773837380.123886,6.131530015481201,-2.7745567146394077,-1.5902370932998442,6.131530015481201,-2.7745567146394072,-1.5902370932998442
87,261,1773837380.360444,6.142611170941052,-2.9005154287127195,-1.5872566507634143,6.142611170941052,-2.900515428712719,-1.5872566507634143
88,264,1773837380.596013,6.158914713579163,-3.060886597856211,-1.60212205275121,6.158914713579163,-3.060886597856211,-1.60212205275121
89,267,1773837380.831908,6.158004549290203,-3.192197986113418,-1.584617426445966,6.158004549290203,-3.1921979861134178,-1.584617426445966
90,270,1773837381.068806,6.163962778614508,-3.314856132255507,-1.5741067366199057,6.163962778614509,-3.3148561322555063,-1.5741067366199057
91,273,1773837381.303624,6.158937855941824,-3.4278503003791263,-1.558352382539607,6.158937855941824,-3.427850300379126,-1.558352382539607
92,276,1773837381.539491,6.177282300958036,-3.5782165052959156,-1.594118943157137,6.177282300958035,-3.578216505295915,-1.594118943157137
93,279,1773837381.774445,6.17901084187761,-3.6971119385468603,-1.6068399680059477,6.179010841877609,-3.69711193854686,-1.6068399680059477
94,282,1773837382.009613,6.169019725907347,-3.8114619687963747,-1.6324615721180027,6.169019725907347,-3.8114619687963742,-1.6324615721180027
95,285,1773837382.245344,6.148074101971184,-3.942951892437107,-1.6673761493580428,6.148074101971183,-3.9429518924371063,-1.6673761493580428
96,288,1773837382.480744,6.134692432870991,-4.0621029692291915,-1.7013546706636038,6.13469243287099,-4.062102969229191,-1.7013546706636038
97,291,1773837382.715477,6.096272223080434,-4.194073731823259,-1.7388390900312667,6.096272223080434,-4.194073731823258,-1.7388390900312667
98,294,1773837382.951176,6.07437836661978,-4.293909873831979,-1.7754179406566923,6.074378366619781,-4.2939098738319785,-1.7754179406566923
99,297,1773837383.187128,6.05468732934097,-4.470201324609689,-1.8804008829111272,6.054687329340971,-4.470201324609688,-1.8804008829111272
100,300,1773837383.422542,6.026016118660151,-4.523969920739152,-1.8861020698426556,6.026016118660152,-4.523969920739152,-1.8861020698426556
101,303,1773837383.65842,5.955796295539505,-4.625613093411038,-1.859806975026713,5.955796295539505,-4.625613093411038,-1.859806975026713
102,306,1773837383.894226,5.926508962627523,-4.725123470035313,-1.8791164433419363,5.926508962627523,-4.725123470035313,-1.8791164433419363
103,309,1773837384.130471,5.826194765183706,-4.854487964894015,-1.9017917612646096,5.826194765183706,-4.854487964894016,-1.9017917612646096
104,312,1773837384.366156,5.767641717072332,-4.953451907540171,-1.9064057209546177,5.767641717072332,-4.953451907540172,-1.9064057209546177
105,315,1773837384.602232,5.830508230526703,-5.0320567403726555,-1.9480240641900368,5.830508230526703,-5.032056740372656,-1.9480240641900368
106,318,1773837384.838176,5.877775951813924,-5.055680030397153,-1.950075567915827,5.877775951813923,-5.055680030397153,-1.950075567915827
107,321,1773837385.073551,5.741925400910079,-5.1808459722544065,-1.9693360625512437,5.741925400910078,-5.1808459722544065,-1.9693360625512437
108,324,1773837385.309959,5.755384981149168,-5.226860851742824,-1.9996593036027555,5.7553849811491675,-5.226860851742824,-1.9996593036027555
109,327,1773837385.544404,5.691791355363538,-5.302505446777702,-2.046054538566246,5.691791355363537,-5.302505446777702,-2.046054538566246
110,330,1773837385.77925,5.569864069596443,-5.404257748041027,-2.127935815860779,5.569864069596442,-5.404257748041027,-2.127935815860779
111,333,1773837386.014492,5.491635649822552,-5.47393812692192,-2.1894544737352475,5.491635649822551,-5.47393812692192,-2.1894544737352475
112,336,1773837386.250818,5.421060518053504,-5.537612004119819,-2.2366458068178594,5.421060518053503,-5.537612004119819,-2.2366458068178594
113,339,1773837386.487278,5.348055845402362,-5.612548551932042,-2.334222606486282,5.348055845402361,-5.612548551932042,-2.334222606486282
114,342,1773837386.723282,5.2520315930378265,-5.663020144444193,-2.3904300458218164,5.252031593037826,-5.663020144444192,-2.3904300458218164
115,345,1773837386.958815,5.165883690091021,-5.710045607773715,-2.460482957780413,5.16588369009102,-5.710045607773714,-2.4604829577804135
116,348,1773837387.195419,4.99061601255432,-5.751763091444409,-2.485339319951405,4.9906160125543195,-5.751763091444408,-2.485339319951405
117,351,1773837387.431573,5.031098242790221,-5.765907060136531,-2.5810818806902835,5.031098242790221,-5.76590706013653,-2.5810818806902835
