candidate_id,branch_type,source_keyframe_id,target_keyframe_id,source_scan_index,target_scan_index,source_processed_index,target_processed_index,source_timestamp,target_timestamp,source_fraction,target_fraction,keyframe_gap,path_gap_m,pose_distance_m,pose_angle_diff_rad,descriptor_error,descriptor_shift_rad,relative_pose_init_dx,relative_pose_init_dy,relative_pose_init_dtheta,relative_pose_icp_dx,relative_pose_icp_dy,relative_pose_icp_dtheta,mean_residual_m,inlier_ratio,translation_correction_m,rotation_correction_rad,score,accepted_before_dedup,accepted_final,accepted_loop_id,rejection_reason
0,local,58,0,436,0,218,0,1774265806.78888,1774265766.515001,0.6823529411764706,0.0,58,14.143957004112663,2.4471986257736473,0.7734366311341904,,,0.004162063756994391,2.447195086464034,0.7734366311341904,0.004162063756994391,2.447195086464034,0.7734366311341904,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
1,local,59,0,442,0,221,0,1774265807.340666,1774265766.515001,0.6941176470588235,0.0,59,14.354262730429328,2.585448899465169,0.7496970284643205,,,0.16706701886463174,2.5800454691639327,0.7496970284643205,0.16706701886463174,2.5800454691639327,0.7496970284643205,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
2,local,60,0,448,0,224,0,1774265807.891046,1774265766.515001,0.7058823529411765,0.0,60,14.564916661649967,2.7133737010162884,0.7533664276137552,,,0.33914063490069557,2.6920959253202668,0.7533664276137552,0.33914063490069557,2.6920959253202668,0.7533664276137552,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
3,anchor,60,17,448,130,224,65,1774265807.891046,1774265778.563697,0.7058823529411765,0.2,43,10.764378574108079,4.929565992649494,2.3620155314708544,0.10145804398148149,0.0,0.07629045353277497,-0.07698432708296665,0.0,-0.02912803121815854,0.06612701525299598,0.0016368969409628043,0.012890841321619393,1.0,0.1777467671503026,0.0016368969409628043,0.9692526371163022,True,True,0,
4,anchor,60,15,448,114,224,57,1774265807.891046,1774265777.091201,0.7058823529411765,0.17647058823529413,45,11.195434033416248,4.548274095984275,2.3610961436312228,0.13279918981481484,-0.17453292519943295,0.048324566772836086,0.48721103388640763,-0.17453292519943295,0.4871368276324476,0.020014808813445917,-0.2396466808431496,0.06508632244685339,0.5813953488372093,0.64095905719722,0.06511375564371664,0.4489574328884481,False,False,,below_inlier_ratio
5,anchor,60,14,448,108,224,54,1774265807.891046,1774265776.534669,0.7058823529411765,0.16470588235294117,46,11.35543480660039,4.4049020426740695,2.0163684496897925,0.1349079861111111,-0.2617993877991494,0.0989000183121678,0.4636346962266359,-0.2617993877991494,0.677425586093207,-0.04913513376329004,-0.1180909460064902,0.07070615816240602,0.45348837209302323,0.7730619193339375,0.1437084417926592,0.29829059990759044,False,False,,below_inlier_ratio
6,anchor,60,16,448,122,224,61,1774265807.891046,1774265777.826819,0.7058823529411765,0.18823529411764706,44,10.988347475426503,4.74117604717996,2.3501917989533765,0.1374380787037037,0.0,-0.08296459742557194,0.4243776793482499,0.0,0.22054424083758023,0.054211808112094424,0.004002679252618373,0.0533206094200354,0.9186046511627907,0.4786861050123246,0.004002679252618373,0.8172152972788919,False,False,,lower_score_than_best_current
7,anchor,60,7,448,64,224,32,1774265807.891046,1774265772.456966,0.7058823529411765,0.08235294117647059,53,12.815329562788648,3.165142107466812,0.9256225326369203,0.18252256944444445,0.0,-0.1370078432836665,0.5800570482198314,0.0,0.1292157380183713,0.340905380506744,0.17884317764236365,0.06654814088261199,0.8023255813953488,0.3578666167879224,0.17884317764236365,0.6910486199518264,False,False,,lower_score_than_best_current
8,local,61,0,454,0,227,0,1774265808.441694,1774265766.515001,0.7176470588235294,0.0,61,14.775626738468235,2.817585393359596,0.648284863608989,,,0.5351827284666671,2.7662911806287354,0.648284863608989,0.5351827284666671,2.7662911806287354,0.648284863608989,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
9,anchor,61,15,454,114,227,57,1774265808.441694,1774265777.091201,0.7176470588235294,0.17647058823529413,46,11.406144110234516,4.527527007543775,2.2560145796264566,0.14076388888888888,-0.3490658503988659,0.18598986498402756,0.7702481861097962,-0.3490658503988659,-0.18798641110546355,1.5890098309774057,1.6450175587220932,0.20033823403871714,0.020833333333333332,0.9001271500094178,1.9940834091209592,-0.36922178616237356,False,False,,below_inlier_ratio
