variant_name,selected,loop_edge_count,loop_edge_ids_used,odometry_only,closure_error_before_m,closure_error_after_m,closure_error_improvement_m,total_distance_change_abs_m,mean_keyframe_translation_correction_m,max_keyframe_translation_correction_m,mean_keyframe_translation_step_m,mean_keyframe_rotation_step_rad,deformation_score,output_dir
odom_only,False,0,,True,2.443336,2.443336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3d/indoor_large_03/variants/odom_only
anchor_plus_support,False,2,"6,1",False,2.443336,0.894667,1.548669,0.00158,1.922044,3.344376,0.061332,0.01033,3.392119,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3d/indoor_large_03/variants/anchor_plus_support
anchor_only,True,1,6,False,2.443336,0.897537,1.545799,0.00204,1.767693,3.355573,0.02727,0.005432,2.89015,/Users/lambertwang/Downloads/COMP0222_25-26/Courseworks/Coursework_02_-_Visual_and_Lidar_SLAM/Code/output/lidar_q3d/indoor_large_03/variants/anchor_only
