processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1773837360.036302,0.09337732811708521,0.034404478663411966,-0.013257090544612094,0.09337732811713059,0.034404478662858395,-0.013257090545807992
2,6,1773837360.278349,0.06072730880157085,0.008969674681844947,0.008796176250897797,0.060727308801600766,0.008969674680815897,0.008796176248506003
3,9,1773837360.51855,0.04118456637271448,0.0068987850168761395,0.009262023519225882,0.041184566372751925,0.006898785015402676,0.009262023515638193
4,12,1773837360.756797,0.042299942361124936,0.01572223496169894,-0.004309453467598269,0.04229994236121706,0.01572223495972899,-0.004309453472381856
5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.37692855593593755,-0.02395388612115563,-0.07027059151256332
6,18,1773837361.231315,-0.2705969999142429,0.0075943530371123565,-0.06808242676251842,-0.27059699991426883,0.0075943530366382826,-0.06808242676969636
7,21,1773837361.46787,-0.2576126995021912,0.020796622375290116,-0.049010262351747325,-0.257612699502199,0.020796622374824686,-0.04901026236012373
8,24,1773837361.704287,-0.24830235453130442,0.03695307714112713,-0.04836179088610551,-0.24830235453123417,0.036953077140674404,-0.048361790895680365
9,27,1773837361.940263,-0.26253318516104646,0.05658753405253256,-0.04090732905633273,-0.262533185160822,0.056587534052323835,-0.040907329067106035
10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.1797952045489539,0.064291410512358,-0.02961928211692528
11,33,1773837362.411259,-0.08204782120585781,0.09378038864794945,-0.03699431171805978,-0.08204782120536644,0.09378038864602538,-0.03699431173303263
12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.02375422213360208,0.12130908733041074,-0.02789702382583301
13,39,1773837362.882996,0.03320273474836678,0.14423634570986196,-0.0342362131375193,0.03320273474949303,0.14423634570661886,-0.034236213157497294
14,42,1773837363.119194,0.11250428966444488,0.1782031762320492,-0.03501581333242601,0.11250428966619035,0.17820317622747772,-0.035015813354408065
15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950062466322,0.18688502729508508,-0.04867012716464863
16,48,1773837363.590818,0.38918205247284215,0.1951298926218008,-0.07066192475942623,0.38918205247487125,0.195129892611042,-0.0706619247864205
17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156712201,0.19472835667543117,-0.0765031420424306
18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.6676043285603267,0.20825072615429194,-0.0910015775465004
19,57,1773837364.300646,0.8147906624731761,0.20553831763672725,-0.11921456963089341,0.8147906624752521,0.20553831761274674,-0.119214569669925
20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.8836472351306509,0.2009298848121994,-0.1120035684826193
21,63,1773837364.772637,0.876129693981556,0.1826745990485819,-0.09028058999794855,0.8759476133492933,0.1833381365457615,-0.09246912881859583
22,66,1773837365.009215,0.940420503134435,0.18355006204975843,-0.09873591694111791,0.9400553596561583,0.18459485795157404,-0.1031129945403713
23,69,1773837365.245823,1.177247107699459,0.19575694768610993,-0.13200930573785935,1.176767671912544,0.19576768291848512,-0.13857492211571887
24,72,1773837365.481294,1.2710846924963186,0.18281443609031936,-0.12287309527746616,1.270378377843626,0.18261214926235803,-0.13162585353515122
25,75,1773837365.717725,1.2678979322340311,0.1676543051666947,-0.11472704125890014,1.2668799921266507,0.1678897625493758,-0.12566694139641071
26,78,1773837365.953307,1.4532944508234604,0.17827937646236108,-0.12393907019084015,1.4522148792355778,0.17648881573469696,-0.13706611220817627
27,81,1773837366.190499,1.508466418371528,0.15723611992224262,-0.1359504141586549,1.5069464453386467,0.15513084437226318,-0.15126324760412543
28,84,1773837366.427136,1.6390803002375072,0.1652715246331324,-0.1339948919144271,1.6375142941948144,0.16128662748302536,-0.15149351678803213
29,87,1773837366.66386,1.6929838202395986,0.16338699407738938,-0.1343406960140044,1.691208674300858,0.15846212966494833,-0.15402511231574384
30,90,1773837366.899897,1.826310178729595,0.1486623784641107,-0.12513095458575738,1.8239432255295063,0.14146725608503635,-0.1480944485438463
31,93,1773837367.136303,1.9312413586045571,0.1651860094799004,-0.1406668659515276,1.9289760290807987,0.15558187410883217,-0.16690943756596593
32,96,1773837367.373736,2.1189624742053086,0.159300443888378,-0.1489602703477321,2.116350234710544,0.1451928894913741,-0.17847647629721783
33,99,1773837367.610543,2.246397116921817,0.13234853706509045,-0.13922742284918976,2.242682197459568,0.11449689513707875,-0.17201726313372293
34,102,1773837367.847748,2.2379157887697767,0.1309068877025034,-0.1350897395498126,2.234038417480201,0.11381966312831372,-0.17006102661087938
